Movie,IMDB ID,Genre ID,Popularity,Release date,Adult,original language,vote_count,vote average,run time,run budget, revenue
"Thank You, Jeeves!",82237,[35],1.001723,6/30/1936,FALSE,en,0,0,57,0,0
Akira,149,"[878, 16]",10.329727,7/16/1988,FALSE,ja,877,7.8,124,8000000,553171
American Cowslip,44700,[35],1.42427,9/7/2010,FALSE,en,4,4.5,107,0,0
King of the Ants,21619,"[28, 80, 18, 27, 53]",5.366245,7/28/2003,FALSE,en,23,5.9,102,0,0
Dahmer,25853,"[18, 27]",4.301807,6/21/2002,FALSE,en,59,5.2,101,250000,144008
Cry Freedom,12506,[18],4.146981,11/5/1987,FALSE,en,56,7,157,0,0
Dodes'ka-den,33205,[18],2.798966,10/31/1970,FALSE,ja,26,6.7,140,0,0
Stigmata,10307,[27],6.965436,9/10/1999,FALSE,en,265,5.9,103,29000000,50041732
Amelia and Michael,333776,"[9648, 18]",1.008702,9/12/2007,FALSE,en,0,0,10,0,0
Major League: Back to the Minors,9771,[35],2.599883,4/17/1998,FALSE,en,23,4.3,107,0,3572443
Notorious,303,"[53, 18, 10749]",10.862401,8/15/1946,FALSE,en,374,7.8,102,2000000,24464742
Corpse Eaters,97553,[],1.367626,8/16/1974,FALSE,en,3,5.3,61,0,0
Opening Night,311764,"[35, 10402]",7.070173,6/3/2016,FALSE,en,17,6.7,90,0,0
Unhinged,54116,[27],1.866073,10/14/1982,FALSE,en,8,5.3,80,0,0
High School Record,45037,"[35, 99]",1.040237,1/25/2005,FALSE,en,1,2,0,0,0
The Seventh Sign,11082,"[27, 53, 9648, 14]",6.083786,4/1/1988,FALSE,en,81,5.9,97,0,18875011
The Young Graduates,93914,[18],1.163047,6/2/1971,FALSE,en,1,9,100,0,0
The Goebbels Experiment,21073,"[99, 10769]",1.629619,4/13/2005,FALSE,de,5,6.1,0,0,0
Entrails of a Virgin,46078,[27],2.12154,5/31/1986,FALSE,ja,8,5.8,72,0,0
Grand Slam,119598,[35],1.171814,3/17/1978,FALSE,en,2,5.3,62,0,0
Monster in the Closet,50382,[27],2.410276,5/15/1986,FALSE,en,24,5,90,0,0
Man on Fire,9509,"[28, 18, 53, 80]",9.562333,4/23/2004,FALSE,en,1664,7.3,146,70000000,130293714
Don't Talk to Strangers,189492,"[10770, 53]",2.834589,8/11/1994,FALSE,en,5,3.9,98,0,0
Hotel Sorrento,91835,[18],1.094433,4/20/1995,FALSE,en,1,8,112,0,0
The Day Christ Died,455951,[],1.035352,3/26/1980,FALSE,en,1,6,142,0,0
Omen IV: The Awakening,17792,"[10770, 14, 27, 9648]",4.97209,7/19/1991,FALSE,en,40,4.7,97,0,0
The Last Big Thing,55180,"[35, 18]",1.42667,9/23/1998,FALSE,en,3,6,98,0,0
Music Within,14820,"[35, 18]",3.170794,1/5/2007,FALSE,en,18,6.7,94,0,153205
The Devil Thumbs a Ride,29470,[80],2.195628,2/20/1947,FALSE,en,8,5.9,62,0,0
The Last Picture Show,25188,[18],7.54337,10/2/1971,FALSE,en,147,7.7,118,1300000,29133000
Platoon,792,"[18, 10752, 28]",11.764249,12/18/1986,FALSE,en,1323,7.5,120,6000000,138530565
Beat Street,17667,"[18, 10402]",5.751692,6/8/1984,FALSE,en,23,7,105,0,0
Eyes of the Werewolf,85973,[27],1.038659,1/1/1999,FALSE,en,1,6,74,5000,0
The Second Circle,145147,[18],1.476133,9/11/1990,FALSE,ru,6,6.7,92,0,0
Fred Claus,5375,"[28, 35, 18]",7.434961,11/3/2007,FALSE,en,232,5.4,116,100000000,97838349
Twists of Terror,93957,"[10770, 27, 53]",1.259561,7/2/1997,FALSE,en,2,6.5,90,0,0
Noam Chomsky: Rebel Without a Pause,41254,[99],1.186042,1/1/2003,FALSE,en,1,7,74,0,0
Have You Seen My Son,280700,[],1,,FALSE,en,0,0,0,0,0
Who Loves the Sun,24422,"[35, 18, 10749]",2.298476,1/4/2006,FALSE,en,4,5.4,94,0,0
Hating Alison Ashley,15042,"[35, 18]",1.419161,3/17/2005,FALSE,en,1,6,100,0,0
Kings Go Forth,78229,"[18, 28, 10749, 10752]",2.061388,1/1/1958,FALSE,en,5,4.9,109,0,0
Today We Live,103938,"[10749, 18, 28, 10752]",1.14824,3/3/1933,FALSE,en,2,2,113,0,0
The Journey to Kafiristan,113610,"[18, 10769]",1.036607,9/27/2001,FALSE,de,1,4,101,0,0
Dreamgirls,1125,[18],7.427213,12/25/2006,FALSE,en,309,6.6,134,70000000,154937680
LOC: Kargil,71920,[],1.187764,12/12/2003,FALSE,en,4,5.3,240,0,0
Rufus Jones for President,164026,"[14, 35, 10402]",1.048643,9/8/1933,FALSE,en,1,6,23,0,0
Adrenaline,71305,[],1.04463,10/28/2009,FALSE,ar,1,4,122,0,0
Follow the Fleet,28292,"[35, 10402, 10749]",2.347929,2/20/1936,FALSE,en,11,7.1,110,0,0
Yeti: Curse of the Snow Demon,53245,[27],2.331706,11/8/2008,FALSE,en,14,2.9,85,0,0
Native Son,108312,[18],1.371219,12/24/1986,FALSE,en,2,2,111,2000000,1301121
Vigilante,23587,"[28, 80, 53]",5.034868,1/4/1983,FALSE,en,16,7.1,90,0,5091888
Detention,68684,"[27, 35, 878]",7.635043,3/16/2011,FALSE,en,134,5.6,93,10000000,0
Double Impact,9594,"[53, 28, 80, 18]",7.444173,7/31/1991,FALSE,en,236,5.3,110,15000000,30102717
The Savage Seven,42650,"[28, 80]",1.198378,5/1/1968,FALSE,en,5,5.2,94,0,0
9,12244,"[28, 12, 16, 878, 53]",9.868553,8/19/2009,FALSE,en,1352,6.6,79,30000000,48428063
Haunted Summer,41958,"[18, 10749]",1.615308,12/16/1988,FALSE,en,1,6,106,0,0
The Courage to Love,69936,"[18, 36, 10749]",1.392573,1/24/2000,FALSE,en,3,3.7,87,0,0
Frigid Hare,106930,"[10751, 16]",1.213623,10/7/1949,FALSE,en,4,7,7,0,0
Avalon,10881,"[28, 878]",7.206154,1/20/2001,FALSE,pl,100,6.7,107,8000000,8826094
Zorro's Black Whip,148341,"[28, 12, 37]",1.11456,11/16/1944,FALSE,en,2,4.3,211,0,0
The Invader,84479,[18],1.295049,11/23/2011,FALSE,fr,6,6.3,95,0,0
The Underground Comedy Movie,32306,[35],1.433975,1/1/1999,FALSE,en,5,2.1,88,0,0
Loaded,14607,"[28, 80, 18, 53]",2.411495,3/25/2008,FALSE,en,15,3.8,98,0,0
Black Bart,138296,[37],2.304797,3/3/1948,FALSE,en,3,3.3,80,0,0
A New Life,99642,[18],1.478837,11/27/2002,FALSE,fr,11,7,102,0,0
King Solomon's Treasure,198221,[],1.047583,5/31/1979,FALSE,en,1,3.5,88,0,0
The Groove Tube,27977,[35],1.983761,6/23/1974,FALSE,en,3,5.3,75,0,0
Elvis and the Beauty Queen,285654,[18],1.37588,3/1/1981,FALSE,en,0,0,100,0,0
Dragonard,242780,"[18, 36]",1.615362,5/12/1987,FALSE,de,1,7,93,0,0
Slim Slam Slum,67229,"[35, 10402]",1.145594,8/30/2002,FALSE,de,2,5.8,97,0,0
Fatty Drives the Bus,143223,[],1.040065,3/14/1999,FALSE,en,1,8,82,0,0
Year of the Comet,44941,"[35, 28, 12, 10749]",1.55685,4/24/1992,FALSE,en,7,7.1,91,0,0
George of the Jungle 2,26264,"[12, 35, 10751]",7.236722,8/18/2003,FALSE,en,105,3.9,87,0,0
Gunslinger,187790,"[28, 10749, 37]",2.67869,6/1/1956,FALSE,en,6,2.6,71,0,0
Until They Sail,108812,"[18, 10749, 10752]",1.5135,10/8/1957,FALSE,en,5,6,94,0,0
The Last Wave,72277,"[18, 27, 9648, 53]",2.811122,1/1/1977,FALSE,en,40,6.9,106,810000,1258000
House of Angels,34683,[35],2.374803,2/21/1992,FALSE,sv,15,5.3,127,0,0
A Love Divided,277302,[],1.003291,5/14/1999,FALSE,en,0,0,0,0,0
The House Next Door,18742,"[27, 9648, 53]",1.803023,10/30/2006,FALSE,en,9,4.8,86,0,0
The Beaver Trilogy,44131,[],1.373849,12/31/2000,FALSE,en,5,8.5,83,0,0
Tarzan the Ape Man,26845,"[28, 12]",5.240455,4/2/1932,FALSE,en,44,6.5,100,0,0
Psycho II,10576,"[27, 9648, 53]",5.931639,6/3/1983,FALSE,en,135,6.1,113,5000000,34725000
Election,9451,[35],9.729275,4/23/1999,FALSE,en,290,6.7,99,0,0
Moonbase,38226,"[28, 878]",1.236204,12/6/1997,FALSE,en,2,5,90,0,0
Dracula II: Ascension,10578,[27],4.018289,6/7/2003,FALSE,en,31,5.2,85,0,0
Tremors 4: The Legend Begins,10891,"[28, 35, 27, 37]",11.864043,1/2/2004,FALSE,en,114,5.4,101,5000000,0
Sissy-Boy Slap-Party,143281,"[10402, 35]",1.445625,1/1/2004,FALSE,en,9,5,6,0,0
Astitva,97356,[],1.122455,10/6/2000,FALSE,hi,1,7.5,109,0,0
A River Runs Through It,293,[18],9.383502,10/9/1992,FALSE,en,261,7,123,0,43440294
Happy Birthday to Me,37936,"[18, 27, 53, 9648]",4.775373,5/15/1981,FALSE,en,41,6,110,0,0
The Color Purple,873,[18],11.680162,12/18/1985,FALSE,en,379,7.7,154,15000000,146292009
This Is Not a Love Song,47458,"[10751, 10769, 9648, 53]",1.00582,1/1/2002,FALSE,en,0,0,94,0,0
Club Vampire,223296,[27],1.242348,10/26/1998,FALSE,en,1,1,76,0,0
Exorcismo,77257,[27],1.576204,3/10/1975,FALSE,es,3,5.3,90,0,0
There Goes My Baby,88641,"[18, 35]",1.07898,9/2/1994,FALSE,en,2,8.5,99,10500000,123509
Blood Surf,28346,"[35, 27]",2.834515,12/4/2000,FALSE,en,11,4.2,84,0,0
Cocoon,10328,"[35, 18, 878]",6.901259,6/21/1985,FALSE,en,352,6.5,117,0,85313124
The Execution of Private Slovik,77861,"[10752, 18]",1.272555,3/13/1974,FALSE,en,4,6.1,120,0,0
Shiner,28943,"[18, 28, 80]",2.84935,9/22/2000,FALSE,en,12,5.2,99,0,0
No End in Sight,12901,[99],2.840742,7/27/2007,FALSE,en,25,7.4,102,2000000,1431623
The Reluctant Astronaut,36855,"[878, 35, 10751]",1.998659,9/5/1967,FALSE,en,19,5.9,101,0,0
Flower and Snake,49573,"[53, 18]",2.073654,6/22/1974,FALSE,ja,7,4.2,74,0,0
The Ground Truth,50062,"[99, 10752]",1.004528,9/15/2006,FALSE,en,0,0,72,500000,12207
"Paris, je t'aime",2266,"[18, 10749]",10.090438,5/16/2006,FALSE,fr,227,6.8,120,13000000,4857367
Mondays in the Sun,54580,[18],3.372179,9/27/2002,FALSE,es,41,7.1,113,4000000,146402
The Legend of Gingko,81566,"[28, 12, 10749]",1.526147,11/11/2000,FALSE,ko,4,5.5,117,0,0
52 Pick-Up,18588,"[80, 18, 53]",3.50913,11/7/1986,FALSE,en,24,5.8,110,0,5186646
Something Weird,48221,[27],1.152972,1/1/1967,FALSE,en,4,5.5,80,0,0
Angels in the Outfield,24795,"[14, 18, 35, 10751]",6.035827,7/15/1994,FALSE,en,130,5.8,102,0,50236831
Summer of Sam,10279,"[53, 18, 80, 10749]",6.249055,7/2/1999,FALSE,en,121,6.3,142,0,0
The Forest,329440,"[27, 53]",8.217988,1/7/2016,FALSE,en,529,4.8,95,10000000,40055439
Red Garters,156566,[37],1.627794,2/9/1954,FALSE,en,0,0,91,0,1300000
South Beach,191534,"[53, 28, 80]",1.18611,8/4/1993,FALSE,en,1,4.5,93,0,0
The Out-of-Towners,8970,[35],4.741464,4/2/1999,FALSE,en,48,5,90,75000000,29000000
Noise,15661,"[35, 18, 53]",3.289481,5/9/2008,FALSE,en,21,5.6,92,0,0
The House Where Evil Dwells,86068,[27],2.221422,5/14/1982,FALSE,en,7,4.9,88,0,0
The Wicker Man,9708,"[9648, 53, 27]",8.553985,9/1/2006,FALSE,en,388,4.1,102,40000000,38755073
Teachers,31601,"[35, 18]",4.880732,10/5/1984,FALSE,en,24,5.7,107,0,0
The Killer Within Me,80016,[53],1.004614,8/12/2003,FALSE,en,0,0,0,0,0
Bend It Like Beckham,455,"[35, 18, 10749]",6.542885,4/11/2002,FALSE,en,650,6.2,112,3500159,76578641
How She Move,16988,[18],2.77832,1/25/2008,FALSE,en,7,2.7,94,0,0
Baptists at Our Barbecue,28151,"[10749, 35]",1.144915,10/8/2004,FALSE,en,2,4,92,500000,173306
Bulldog Drummond's Secret Police,74314,"[9648, 53]",1.209915,3/29/1939,FALSE,en,2,6,56,0,0
The Gay Sisters,94577,"[18, 10749]",1.206252,8/1/1942,FALSE,en,1,6.5,110,0,0
Stroker Ace,19258,"[28, 35]",4.771224,7/1/1983,FALSE,en,14,4.9,96,0,0
The King Maker,26684,"[28, 12, 18, 10749]",2.451026,10/20/2005,FALSE,th,2,5.3,100,7534750,0
We Shall Overcome,470746,[99],1.022353,7/18/2015,FALSE,en,0,0,127,0,0
Riding High,218116,"[37, 35, 10402]",1.877884,11/11/1943,FALSE,en,0,0,0,0,0
Polyester,14269,[35],3.527263,5/29/1981,FALSE,en,32,6.4,86,300000,0
Religulous,13007,"[35, 99]",5.465869,10/1/2008,FALSE,en,212,7.2,101,0,0
What Would Jesus Buy?,16117,[99],1.162708,3/11/2007,FALSE,en,3,7.7,91,0,0
Inside Man,388,"[80, 18, 53]",8.827844,3/23/2006,FALSE,en,1775,7.3,129,45000000,184376254
Five Star Final,42669,"[80, 18]",1.614231,9/26/1931,FALSE,en,8,4.6,89,0,0
Latitude Zero,151533,[18],1.325843,7/10/2001,FALSE,pt,1,5,85,0,0
Cries from the Heart,366195,[18],1.001719,10/16/1994,FALSE,en,0,0,120,0,0
Face of the Frog,6699,"[80, 53]",2.63563,9/4/1959,FALSE,de,5,5.9,89,0,0
The Dinner,401546,"[18, 53]",7.700873,5/5/2017,FALSE,en,61,4.2,120,0,1323312
Three Bad Sisters,87932,[18],1.300703,1/1/1956,FALSE,en,2,5,76,0,0
Something to Sing About,102242,"[10402, 18]",1.123641,6/10/2000,FALSE,en,2,5.3,87,0,0
While You Are Here,53152,[18],1.191008,10/27/2007,FALSE,de,1,6.5,77,5000,0
Ozark Savage,466770,[],1,,FALSE,en,0,0,77,0,0
Harrison Bergeron,24732,"[35, 878]",2.260825,8/13/1995,FALSE,en,8,7.6,99,0,0
The Mother,59210,"[18, 10749]",3.30939,1/1/2003,FALSE,en,19,6.3,112,2500000,1062253
Dominique,182117,"[9648, 18, 53]",1.872451,1/1/1979,FALSE,en,3,3.7,100,0,0
An Unexpected Love,125233,"[18, 10770]",1.457791,3/24/2003,FALSE,en,5,6.6,90,0,0
"Surrender, Dorothy",55657,"[10770, 18, 10749]",1.652936,1/1/2006,FALSE,en,7,3.8,87,0,0
Foolish Wives,35227,[18],1.683022,1/11/1922,FALSE,en,11,6.3,117,1100000,400200
The Legend of Boggy Creek,1842,"[9648, 27, 18]",2.807997,8/1/1972,FALSE,en,19,5.6,90,100000,22000000
The Hurricane,10400,[18],6.97024,9/17/1999,FALSE,en,432,7.3,146,50000000,73956241
Scrooge,13188,"[14, 18]",8.449931,10/31/1951,FALSE,en,84,7.5,86,0,0
54,3682,"[10402, 18]",6.822577,8/28/1998,FALSE,en,149,5.5,106,13000000,16757163
The 24th Day,18165,"[18, 53]",4.377646,5/6/2004,FALSE,en,28,6.9,96,0,0
Cliffhanger,9350,"[28, 12, 53]",9.355405,5/28/1993,FALSE,en,647,6.1,112,70000000,255000211
Search and Destroy,54022,"[28, 35, 18, 53]",1.46867,1/1/1995,FALSE,en,4,6.1,90,4000000,389503
Tashan,14193,"[28, 35, 10749, 10769]",2.003674,4/25/2008,FALSE,hi,11,4,148,0,0
The Secretary,122982,"[27, 18]",1.519723,4/12/1995,FALSE,en,1,0,94,0,0
Malta Story,65489,"[18, 10752, 36]",1.721463,6/1/1953,FALSE,en,4,5,97,0,0
Scanners II: The New Order,24331,"[27, 878, 28]",2.665752,6/28/1991,FALSE,en,22,4.6,104,0,14225876
Running Mates,291726,"[10770, 18, 35]",1.7226,8/13/2000,FALSE,en,5,5.2,90,0,0
Kassablanka,141831,"[18, 35]",1.400032,11/6/2002,FALSE,en,3,5.5,96,0,0
The All Together,17275,[35],1.27616,1/1/2007,FALSE,en,2,5,84,0,0
Tarzan Escapes,38661,"[28, 12]",2.607063,11/6/1936,FALSE,en,14,6.3,89,0,0
See Jane Date,44880,"[10770, 35, 10749]",4.246877,8/16/2003,FALSE,en,7,3.9,92,0,0
Until September,52778,"[18, 10749]",2.295451,9/21/1984,FALSE,en,2,6.3,95,0,4100000
The Matador,9515,"[28, 35, 80, 18, 53]",6.818872,5/12/2005,FALSE,en,145,6.2,96,10000000,17297244
Katherine,221135,[],1.720245,10/5/1975,FALSE,en,1,5,97,0,0
Black Mask,9460,[28],4.680721,11/7/1996,FALSE,cn,57,5.9,99,0,0
Omaha (The Movie),278552,[],2,,FALSE,en,0,0,85,0,0
Vettaiyaadu Vilaiyaadu,63670,"[28, 53]",1.663221,8/25/2006,FALSE,ta,9,6.9,160,0,0
Christmas in July,34778,"[35, 10749]",1.937817,10/18/1940,FALSE,en,18,6.8,67,0,0
Aida,131270,[10402],1.119867,11/1/1985,FALSE,de,1,6,160,0,0
Gregory's Two Girls,29108,[35],2.216799,10/15/1999,FALSE,en,7,5.3,116,0,0
Jake Speed,71141,"[28, 35, 53]",1.097187,5/30/1986,FALSE,en,2,1.5,100,0,1
Sundown,267800,"[10749, 35]",3.643533,5/16/2016,FALSE,en,33,5.8,103,0,0
Fellini's Casanova,42236,"[18, 36, 10749]",3.940747,12/7/1976,FALSE,it,27,7,155,0,0
Unholy,28687,"[27, 878, 53]",2.280854,9/4/2007,FALSE,en,4,2.8,90,250000,0
This Divided State,41815,[99],1.314658,1/1/2005,FALSE,en,7,7.6,0,0,0
Protocol,37296,[35],2.832413,12/21/1984,FALSE,en,24,6,96,0,0
Distortion,30978,[18],1.04,3/15/2009,FALSE,sl,1,6,86,0,0
Purple Rain,13763,"[18, 10402, 10749]",5.849371,7/27/1984,FALSE,en,99,6.7,111,7200000,68392977
The Unborn,13788,"[27, 53, 9648]",7.376899,1/9/2009,FALSE,en,401,4.9,87,16000000,76514050
Habana Blues,49256,"[18, 10769]",1.619776,3/18/2005,FALSE,en,8,6.4,115,0,0
A Chinese Ghost Story III,9048,"[28, 35, 27, 14]",4.517813,7/18/1991,FALSE,cn,18,6.5,104,0,0
Freddy vs. Jason,6466,[27],16.30388,8/15/2003,FALSE,en,678,5.8,97,30000000,114908830
Finding John Christmas,52752,"[18, 10751, 10770]",1.088194,11/30/2003,FALSE,en,3,4.3,83,0,0
American Pie Presents: Beta House,8277,[35],7.631485,12/10/2007,FALSE,en,529,5.3,88,0,0
Married to Order,389784,[],1.054496,10/29/1920,FALSE,en,0,0,16,0,0
Bangville Police,132532,"[28, 35, 80]",1.542461,4/24/1913,FALSE,en,7,5.4,8,0,0
The Great Journey,453953,[],1.095237,4/22/2017,FALSE,en,0,0,66,0,0
Daraar,168490,"[53, 18, 10749]",1.166576,7/5/1996,FALSE,hi,1,8,105,0,0
Retribution,165845,"[10770, 53]",2.060121,11/10/2012,FALSE,fr,3,4.8,85,0,0
Pet Sematary,8913,"[18, 27]",8.132245,4/21/1989,FALSE,en,445,6.4,103,11500000,57469467
"Child of Darkness, Child of Light",101592,[],1.071319,1/1/1991,FALSE,en,0,0,85,0,0
The Angel Levine,158262,[18],1.320228,7/27/1970,FALSE,en,0,0,106,0,0
Vanilla Sky,1903,"[18, 9648, 10749, 878, 53]",7.073076,12/10/2001,FALSE,en,1182,6.5,136,68000000,203388341
A Damsel in Distress,66473,"[35, 10402, 10749]",1.199648,11/19/1937,FALSE,en,4,7,101,0,0
Garbo Talks,105404,"[35, 18]",1.711031,10/12/1984,FALSE,en,9,6.1,103,0,0
Sasquatch Hunters,4284,[27],1.144267,12/4/2005,FALSE,en,2,3.5,88,0,0
O Canada!,116664,[],1.035294,10/1/1982,FALSE,en,1,5,14,0,0
Brewster McCloud,26525,"[14, 35]",2.484871,12/5/1970,FALSE,en,17,6.6,105,0,0
Sorrows Lost,328785,"[14, 18]",1.003296,6/8/2005,FALSE,en,0,0,13,0,0
The Dark Area,166179,"[27, 9648, 53]",1.002307,5/21/2000,FALSE,de,0,0,80,0,0
Arena,71254,"[28, 53, 878]",7.151325,10/11/2011,FALSE,en,93,5,94,10000000,0
Darkon,16150,"[99, 14]",1.524095,9/12/2006,FALSE,en,6,6.7,93,0,0
Green Plaid Shirt,32445,[18],1.508942,1/1/1997,FALSE,en,4,4.3,87,0,0
Traffic in Souls,96128,[18],1.232068,11/24/1913,FALSE,en,3,5.3,88,0,0
At Point Blank,8743,"[28, 53, 80]",1.770803,12/13/2003,FALSE,sv,5,4.5,100,0,0
Aprile,32117,[35],2.62161,3/27/1998,FALSE,en,28,7.1,78,0,0
"Romulus, My Father",14066,[18],2.672252,5/19/2007,FALSE,en,14,6,104,0,0
Challenge to Lassie,43398,"[28, 10751, 12, 18]",1.293892,1/1/1949,FALSE,en,4,4,76,0,0
A Walk on the Moon,28029,"[18, 10749]",3.277603,1/29/1999,FALSE,en,21,6.2,107,14000000,0
Postal,2728,"[28, 35]",5.913712,8/11/2007,FALSE,en,99,4.5,100,0,0
Seize the Day,140071,[],1.993342,9/9/1986,FALSE,en,8,5.6,93,0,0
The Darkroom,34596,"[27, 53]",1.205838,1/1/2006,FALSE,en,2,5.5,83,0,0
Nightmare in Badham County,98134,"[18, 28]",1.224354,11/5/1976,FALSE,en,4,4.5,100,0,0
Miami Golem,29607,"[28, 27, 878]",1.029102,11/12/1985,FALSE,en,0,0,85,0,0
Christopher Strong,37581,[18],1.317859,3/9/1933,FALSE,en,6,5.8,78,0,0
Conceiving Ada,96484,"[878, 18, 14]",1.563477,2/19/1999,FALSE,en,0,0,85,0,0
Taboo,135348,[18],2.17974,1/28/1977,FALSE,sv,1,6,115,0,0
Johnny Concho,60548,[37],1.094374,7/1/1956,FALSE,en,2,4,84,0,0
Raggedy Ann & Andy: A Musical Adventure,36748,"[10402, 16, 10751]",1.097726,4/1/1977,FALSE,en,1,5,84,0,0
Betty Boop with Henry the Funniest Living American,184535,[16],1.001648,12/21/1935,FALSE,en,0,0,7,0,0
Saturday's Warrior,387026,"[10402, 18, 10751]",2.406492,3/31/2016,FALSE,en,3,5.3,139,0,0
While She Was Out,15749,"[28, 12, 18, 27, 53]",5.158581,10/27/2008,FALSE,en,38,4.8,108,6000000,391410
The Best of Times,30653,[35],2.913162,1/31/1986,FALSE,en,20,6,104,0,0
Before the Devil Knows You're Dead,7972,"[80, 18, 53]",7.601975,9/26/2007,FALSE,en,397,6.9,117,18000000,25005257
The Fan,9566,"[18, 9648, 53]",7.148061,8/15/1996,FALSE,en,221,5.7,116,55000000,18626419
The Pervert's Guide to Cinema,34283,[99],3.108545,10/6/2006,FALSE,en,43,7.2,150,0,0
Black Angel,20298,"[80, 18, 9648, 53]",2.586383,8/2/1946,FALSE,en,14,5.9,81,0,0
Waiting for the Messiah,127452,"[18, 10749, 10769]",1.648131,5/25/2000,FALSE,es,1,5,98,0,0
Dead Creatures,133137,[27],1.05934,9/25/2001,FALSE,en,1,4,95,0,0
Manfish,144154,[12],1.239249,2/1/1956,FALSE,en,4,3.4,88,0,0
The Empty Acre,260958,"[27, 18]",1.004987,8/14/2007,FALSE,en,0,0,104,0,0
The Crocodile Hunter: Collision Course,17043,"[10751, 28, 12]",3.768994,7/26/2002,FALSE,en,37,5.4,90,0,33082548
The Dancing Masters,69017,[35],1.586172,11/19/1943,FALSE,en,6,5.2,0,0,0
Born Innocent,30671,"[18, 10770]",2.882125,9/10/1974,FALSE,en,6,5.6,98,0,0
Brief Encounter,851,"[18, 10749]",6.037895,11/24/1945,FALSE,en,132,7.6,86,0,0
39 Pounds of Love,190162,"[99, 10749]",1.002353,12/2/2005,FALSE,en,0,0,70,0,0
Spring in a Small Town,21058,"[18, 10749]",1.819145,2/1/1948,FALSE,zh,15,6.5,94,0,0
Slugs,28452,"[27, 878]",3.57034,2/5/1988,FALSE,en,32,4.9,89,0,0
Bonjour Tristesse,1937,[18],2.826475,3/17/1958,FALSE,en,25,6.9,94,0,0
Deathtrap,17590,"[35, 80, 18, 9648, 10749, 53]",5.732736,3/19/1982,FALSE,en,64,6.8,116,0,0
Prisoner of War,239690,"[10752, 18]",1.758226,5/4/1954,FALSE,en,1,3.5,81,0,0
Demon Keeper,136641,[27],1.146933,5/6/1994,FALSE,en,1,3,71,0,0
Schizophreniac: The Whore Mangler,99263,"[27, 35, 18]",1.004563,1/1/1997,FALSE,en,0,0,84,0,0
A Chef in Love,105763,"[18, 35, 10749, 10769]",1.522728,6/6/1996,FALSE,fr,2,3.5,100,0,0
Our Guys: Outrage at Glen Ridge,257651,[18],1.526064,5/2/1999,FALSE,en,4,6.5,90,0,0
"Live a Little, Love a Little",18686,"[35, 10402, 10749]",1.815956,10/23/1968,FALSE,en,7,6.6,90,0,0
Midnight Skater,291610,[],1.037647,9/10/2002,FALSE,en,1,7,0,0,0
The Return,483481,[18],13.530517,12/7/2017,FALSE,ko,0,0,100,0,0
Presenting Lily Mars,43512,"[10402, 10749]",1.433525,4/29/1943,FALSE,en,4,6,104,0,0
The Hazing,27619,[27],2.189553,3/6/2004,FALSE,en,10,6.9,87,0,0
Christmas Evil,27230,"[18, 27]",3.171603,11/1/1980,FALSE,en,34,5.6,100,750000,0
Mazes and Monsters,27348,"[14, 18, 878]",2.883937,12/27/1982,FALSE,en,18,4.4,100,0,0
Me & Isaac Newton,120683,[99],1.00195,11/10/2000,FALSE,en,0,0,0,0,0
Fido,10288,"[10749, 35, 18, 27]",6.274175,9/7/2006,FALSE,en,143,6.6,91,8000000,426224
Jesus of Montreal,4486,[18],2.812153,5/17/1989,FALSE,fr,21,6.8,119,0,0
Jungle Assault,255198,"[28, 10752]",1.050306,10/18/1989,FALSE,en,1,8,85,0,0
Journey to the Center of the Earth,88751,"[28, 878, 12, 35, 10751]",17.414348,7/10/2008,FALSE,en,1461,5.8,93,45000000,101702060
Spring Breakdown,18826,[35],4.336337,5/22/2009,FALSE,en,19,5.2,84,12300000,0
Proximity,241861,"[28, 53]",1.464971,12/5/2013,FALSE,en,9,6.6,11,0,0
Tran Scan,336841,[],1.037647,4/30/2004,FALSE,en,1,9,8,0,0
The Rainmaker,11975,"[18, 80, 53]",6.813961,11/18/1997,FALSE,en,258,6.7,135,40000000,45916769
Cinderella,150689,"[10749, 14, 10751, 18]",17.853442,3/12/2015,FALSE,en,2580,6.7,105,95000000,543514353
Dig!,1843,"[99, 10402]",2.371056,5/14/2004,FALSE,en,20,7.2,107,0,127067
Phantom of the Mall: Eric's Revenge,86326,[27],1.627393,12/1/1989,FALSE,en,2,2.5,91,0,0
Into the Badlands,206157,"[37, 27]",1.469867,7/24/1991,FALSE,en,2,4,89,0,0
Sound and Fury,394287,[],1.171737,2/11/2016,FALSE,en,3,8.7,0,0,0
The Suspended Step of the Stork,47432,"[18, 10749]",1.731366,1/1/1991,FALSE,el,4,7.3,143,0,0
The Steel Lady,21377,"[28, 18]",1.542143,10/9/1953,FALSE,en,2,6,84,0,0
Bucktown,87774,[28],1.836759,7/2/1975,FALSE,en,6,6,94,0,0
Good Advice,26014,"[35, 10749]",3.419292,11/15/2001,FALSE,en,25,5.7,93,0,0
Ned Kelly,10544,"[28, 12, 18, 36]",6.985726,3/22/2003,FALSE,en,123,6.1,110,0,6585516
Houseboat Horror,75206,"[27, 10769]",1.070605,6/30/1989,FALSE,en,2,5.8,81,0,0
The Death of Poe,47111,[],1.03888,10/11/2006,FALSE,en,1,6,80,0,0
The Singles Ward,16653,"[35, 18, 10751, 10749]",1.763136,1/30/2002,FALSE,en,4,7.5,102,0,0
